material,initial_loss,initial_mae,final_loss,final_mae,mae_improvement,loss_improvement,runtime_seconds,iterations,gradient_method,renderer_backend,decoder_type,decoder_neighborhood,joint_optimize_decoder,depth_profile,lowpass_fraction,mean_gradient_norm,std_gradient_norm,mean_decoder_gradient_norm,initial_out_of_band_energy_ratio,optimized_out_of_band_energy_ratio,accuracy_error_le_1,accuracy_error_le_2,accuracy_error_le_5
diffuse,71.32981872558594,68.65948486328125,0.5550621151924133,0.2554309666156769,68.40405389666557,70.77475661039352,8.902297399999952,60,autograd,torch,zncc,1,False,slanted_wave,0.35,2.047633062551419,12.250778179862895,0.0,0.0011105173034593463,4.1081353430172385e-08,1.0,1.0,1.0
marble,75.72946166992188,74.39468383789062,0.574295163154602,0.2642841935157776,74.13039964437485,75.15516650676727,8.831811000000016,60,autograd,torch,zncc,1,False,slanted_wave,0.35,1.8628569441537062,10.71184510448548,0.0,0.0011105173034593463,2.5507951306735777e-08,0.9995958853783983,0.9999632623071271,1.0
wood,77.56861114501953,76.83975982666016,0.6252633333206177,0.2681500017642975,76.57160982489586,76.94334781169891,7.73751909999919,60,autograd,torch,zncc,1,False,slanted_wave,0.35,1.801736409465472,10.093617764418648,0.0,0.0011105173034593463,6.752156878064852e-08,0.9988978692138134,0.9998163115356355,0.9999632623071271
frosted_glass,74.51679229736328,72.8349838256836,0.5532358884811401,0.2575489580631256,72.57743486762047,73.96355640888214,8.244312800001353,60,autograd,torch,zncc,1,False,slanted_wave,0.35,1.9595758639276029,11.736513311847691,0.0,0.0011105173034593463,2.8270781271544365e-08,1.0,1.0,1.0
