gradient_method,pattern_count,runtime_seconds,initial_loss,initial_mae,final_loss,final_mae,best_loss,best_mae,mae_improvement,loss_improvement,best_mae_improvement,best_loss_improvement,loss_reaches_final_10pct_iteration,mae_reaches_final_10pct_iteration,loss_improvement_per_second,mae_improvement_per_second,iterations,renderer_backend,decoder_type,decoder_neighborhood,joint_optimize_decoder,material,depth_profile,lowpass_fraction,mean_gradient_norm,std_gradient_norm,mean_decoder_gradient_norm,initial_out_of_band_energy_ratio,optimized_out_of_band_energy_ratio,accuracy_error_le_1,accuracy_error_le_2,accuracy_error_le_5
finite_difference,2,6.803350899997895,20.808427810668945,24.604494094848633,20.627731323242188,22.674327850341797,20.627731323242188,18.77061653137207,1.930166244506836,0.1806964874267578,5.8338775634765625,0.1806964874267578,5,1,0.026559929357558458,0.28370818409785453,5,torch,zncc,1,False,diffuse,slanted_wave,0.35,3.7247495903633534,7.069753511890035,0.0,0.0011242746841162443,5.382594849834277e-07,0.04711425206124853,0.08215547703180212,0.15665488810365136
finite_difference,4,13.653758899999957,16.670265197753906,15.92724323272705,2.7440950870513916,0.7366737723350525,2.2856316566467285,0.7355867028236389,15.190569460391998,13.926170110702515,15.191656529903412,14.384633541107178,3,3,1.0199514457996142,1.1125558833590765,5,torch,zncc,1,False,diffuse,slanted_wave,0.35,19.356341886520386,32.22078598810952,0.0,0.0010817365255206823,1.6618270819890313e-05,0.8733804475853946,0.9019434628975265,0.9511189634864546
finite_difference,8,29.38092080000206,6.300685405731201,5.209336757659912,0.4169417917728424,0.25165030360221863,0.4169417917728424,0.25165030360221863,4.9576864540576935,5.883743613958359,4.9576864540576935,5.883743613958359,1,1,0.20025730011471368,0.16873829751790767,5,torch,zncc,1,False,diffuse,slanted_wave,0.35,12.126249861717223,22.647469563103776,0.0,0.001098898588679731,1.7370843124808744e-05,1.0,1.0,1.0
autograd,2,0.093914400000358,20.808427810668945,24.604494094848633,20.627939224243164,22.968961715698242,20.57662582397461,22.968961715698242,1.6355323791503906,0.18048858642578125,1.6355323791503906,0.23180198669433594,1,5,1.9218762363557242,17.415250784197937,5,torch,zncc,1,False,diffuse,slanted_wave,0.35,0.002861005032900721,0.001564585855932514,0.0,0.0011242746841162443,9.90884764444735e-16,0.053003533568904596,0.0983510011778563,0.14546525323910484
autograd,4,0.10260289999860106,16.670265197753906,15.92724323272705,3.3417067527770996,1.434739112854004,2.6682517528533936,1.1197108030319214,14.492504119873047,13.328558444976807,14.80753242969513,14.002013444900513,2,1,129.9060778363434,141.24931039253747,5,torch,zncc,1,False,diffuse,slanted_wave,0.35,30.443669986724853,47.59217799150752,0.0,0.0010817365255206823,0.00011205775808775797,0.8654299175500589,0.8798586572438163,0.9222614840989399
autograd,8,0.13584220000120695,6.300685405731201,5.209336757659912,0.40133243799209595,0.25205641984939575,0.40133243799209595,0.25205641984939575,4.957280337810516,5.899352967739105,4.957280337810516,5.899352967739105,1,1,43.42836822290419,36.493040711657684,5,torch,zncc,1,False,diffuse,slanted_wave,0.35,14.02800480723381,26.051086814810944,0.0,0.001098898588679731,9.966942343453411e-06,1.0,1.0,1.0
