seed,epsilon,pattern_count,finite_difference_gradient_norm,autograd_gradient_norm,gradient_norm_ratio_fd_over_autograd,gradient_difference_norm,gradient_relative_difference,gradient_cosine_similarity,finite_difference_runtime_seconds,autograd_runtime_seconds
7,0.03,4,83.7760238647461,125.58808898925781,0.667069819590231,93.49386596679688,0.744448511950794,0.6676802039146423,4.3554226999985985,0.13457950000156416
11,0.03,4,70.15657806396484,107.0346908569336,0.6554564459642215,84.79114532470703,0.7921837737452984,0.6118392944335938,2.146566499999608,0.004234399999404559
19,0.03,4,77.9820327758789,103.2633285522461,0.7551764393922659,66.0943603515625,0.6400564583594848,0.7684424519538879,2.1782910999972955,0.005276500000036322
