seed,gradient_method,runtime_seconds,initial_loss,initial_mae,final_loss,final_mae,best_loss,best_mae,mae_improvement,loss_improvement,best_mae_improvement,best_loss_improvement,loss_reaches_final_10pct_iteration,mae_reaches_final_10pct_iteration,loss_improvement_per_second,mae_improvement_per_second,iterations,renderer_backend,decoder_type,decoder_neighborhood,joint_optimize_decoder,material,depth_profile,lowpass_fraction,mean_gradient_norm,std_gradient_norm,mean_decoder_gradient_norm,initial_out_of_band_energy_ratio,optimized_out_of_band_energy_ratio,accuracy_error_le_1,accuracy_error_le_2,accuracy_error_le_5
7,finite_difference,21.445494899999176,16.670265197753906,15.92724323272705,1.5629231929779053,0.609068751335144,1.5629231929779053,0.609068751335144,15.318174481391907,15.107342004776001,15.318174481391907,15.107342004776001,3,3,0.704452995948453,0.7142840447358778,8,torch,zncc,1,False,diffuse,slanted_wave,0.35,13.455289050936699,26.59882375384459,0.0,0.0010817365255206823,4.2127219785470515e-05,0.9243227326266196,0.9334511189634864,0.9570082449941107
7,autograd,0.15645949999816366,16.670265197753906,15.92724323272705,1.5473109483718872,0.7327054142951965,1.5473109483718872,0.7191759347915649,15.194537818431854,15.122954249382019,15.208067297935486,15.122954249382019,4,2,96.65817397459766,97.11520289575904,8,torch,zncc,1,False,diffuse,slanted_wave,0.35,20.12468034029007,39.919475617418634,0.0,0.0010817365255206823,5.318206149240723e-06,0.8813309776207303,0.9075382803297998,0.9690812720848057
11,finite_difference,21.299306799999613,16.269929885864258,14.853948593139648,2.1225714683532715,1.1554402112960815,2.1225714683532715,0.728110134601593,13.698508381843567,14.147358417510986,14.125838458538055,14.147358417510986,3,2,0.6642168849631447,0.6431433991450822,8,torch,zncc,1,False,diffuse,slanted_wave,0.35,10.804859668016434,22.45046204010769,0.0,0.0011829310096800327,2.0539362594718114e-05,0.8963486454652533,0.9222614840989399,0.9555359246171967
11,autograd,0.16090410000106203,16.269929885864258,14.853948593139648,2.12164568901062,1.1351003646850586,2.12164568901062,1.1351003646850586,13.71884822845459,14.148284196853638,13.71884822845459,14.148284196853638,3,2,87.93062766459555,85.26123531226162,8,torch,zncc,1,False,diffuse,slanted_wave,0.35,17.081375166773796,34.03796788210216,0.0,0.0011829310096800327,2.2907493985258043e-05,0.8783863368669023,0.8951707891637221,0.9302120141342756
19,finite_difference,21.173554600001808,16.028480529785156,14.976893424987793,3.6752817630767822,2.1316778659820557,3.6752817630767822,2.1316778659820557,12.845215559005737,12.353198766708374,12.845215559005737,12.353198766708374,5,2,0.5834258677954549,0.6066631693955146,8,torch,zncc,1,False,diffuse,slanted_wave,0.35,12.849873125553131,24.63019310781167,0.0,0.0010645361617207527,5.817773489980027e-05,0.802414605418139,0.8507067137809188,0.9243227326266196
19,autograd,0.1607888999969873,16.028480529785156,14.976893424987793,2.5382418632507324,1.2254281044006348,2.5382418632507324,1.2254281044006348,13.751465320587158,13.490238666534424,13.751465320587158,13.490238666534424,5,5,83.90104122998312,85.5252858610563,8,torch,zncc,1,False,diffuse,slanted_wave,0.35,19.528842449188232,31.892070888797956,0.0,0.0010645361617207527,3.9854545320849866e-05,0.8533568904593639,0.8901648998822144,0.9522968197879859
