gradient_method,noise_std,runtime_seconds,initial_loss,initial_mae,final_loss,final_mae,best_loss,best_mae,mae_improvement,loss_improvement,best_mae_improvement,best_loss_improvement,loss_reaches_final_10pct_iteration,mae_reaches_final_10pct_iteration,loss_improvement_per_second,mae_improvement_per_second,iterations,renderer_backend,decoder_type,decoder_neighborhood,joint_optimize_decoder,material,depth_profile,lowpass_fraction,mean_gradient_norm,std_gradient_norm,mean_decoder_gradient_norm,initial_out_of_band_energy_ratio,optimized_out_of_band_energy_ratio,accuracy_error_le_1,accuracy_error_le_2,accuracy_error_le_5
finite_difference,0.0,13.341621299998224,14.899983406066895,13.143598556518555,5.940082550048828,3.4201111793518066,5.395642280578613,2.925137758255005,9.723487377166748,8.959900856018066,10.21846079826355,9.504341125488281,3,2,0.6715751852606061,0.7288085605046521,5,torch,zncc,1,False,diffuse,slanted_wave,0.35,28.832119083404542,46.60285868937796,0.0,0.0010817365255206823,0.0001193260177387856,0.7773851590106007,0.8191990577149588,0.9110718492343934
finite_difference,0.005,13.665029499999946,16.670265197753906,15.92724323272705,2.7440950870513916,0.7366737723350525,2.2856316566467285,0.7355867028236389,15.190569460391998,13.926170110702515,15.191656529903412,14.384633541107178,3,3,1.0191102208542568,1.111638273000584,5,torch,zncc,1,False,diffuse,slanted_wave,0.35,19.356341886520386,32.22078598810952,0.0,0.0010817365255206823,1.6618270819890313e-05,0.8733804475853946,0.9019434628975265,0.9511189634864546
finite_difference,0.012,12.052350700003444,18.77392578125,18.641550064086914,4.235175132751465,2.5364370346069336,4.118628025054932,2.4967429637908936,16.10511302947998,14.538750648498535,16.14480710029602,14.655297756195068,3,2,1.2063001100213444,1.336263259445098,5,torch,zncc,1,False,diffuse,slanted_wave,0.35,12.652743244171143,17.925638079696217,0.0,0.0010817365255206823,6.574140570592135e-05,0.8071260306242638,0.8477620730270907,0.9054770318021201
finite_difference,0.025,13.755549099998461,19.930391311645508,19.751182556152344,4.117434978485107,2.799776554107666,3.5811002254486084,2.3875584602355957,16.951406002044678,15.8129563331604,17.363624095916748,16.3492910861969,3,3,1.1495695392995318,1.2323323015031908,5,torch,zncc,1,False,diffuse,slanted_wave,0.35,11.94437642097473,14.347504132840605,0.0,0.0010817365255206823,5.5239976063603535e-05,0.7632508833922261,0.8206713780918727,0.8857479387514723
finite_difference,0.05,13.730589199996757,20.6322021484375,20.739561080932617,4.056511878967285,2.9913523197174072,4.056511878967285,2.9913523197174072,17.74820876121521,16.575690269470215,17.74820876121521,16.575690269470215,4,4,1.2072091242210758,1.292603627491924,5,torch,zncc,1,False,diffuse,slanted_wave,0.35,11.36786184310913,13.529359992951466,0.0,0.0010817365255206823,6.942112668184564e-05,0.6186690223792697,0.7376325088339223,0.8442285041224971
autograd,0.0,0.09979270000258111,14.899983406066895,13.143598556518555,1.9042141437530518,0.8126460313796997,1.9042141437530518,0.8126460313796997,12.330952525138855,12.995769262313843,12.330952525138855,12.995769262313843,3,3,130.22935104948203,123.56617218710004,5,torch,zncc,1,False,diffuse,slanted_wave,0.35,50.254556274414064,87.24144331038696,0.0,0.0010817365255206823,4.538220673566684e-05,0.9028268551236749,0.9299175500588928,0.9705535924617197
autograd,0.005,0.10527799999908893,16.670265197753906,15.92724323272705,3.3417067527770996,1.434739112854004,2.6682517528533936,1.1197108030319214,14.492504119873047,13.328558444976807,14.80753242969513,14.002013444900513,2,1,126.6048972315575,137.65990220062903,5,torch,zncc,1,False,diffuse,slanted_wave,0.35,30.443669986724853,47.59217799150752,0.0,0.0010817365255206823,0.00011205775808775797,0.8654299175500589,0.8798586572438163,0.9222614840989399
autograd,0.012,0.10988360000192188,18.77392578125,18.641550064086914,4.222837448120117,2.6061832904815674,4.222837448120117,2.6061832904815674,16.035366773605347,14.551088333129883,16.035366773605347,14.551088333129883,4,2,132.42431522402566,145.93101377861646,5,torch,zncc,1,False,diffuse,slanted_wave,0.35,22.815253829956056,28.83505022973699,0.0,0.0010817365255206823,0.00011640127195278183,0.8044758539458187,0.8315665488810365,0.8783863368669023
autograd,0.025,0.1553751999999804,19.930391311645508,19.751182556152344,4.016633987426758,2.507582426071167,3.516639232635498,2.379387617111206,17.243600130081177,15.91375732421875,17.371794939041138,16.41375207901001,3,2,102.42246483331972,110.98067466810176,5,torch,zncc,1,False,diffuse,slanted_wave,0.35,21.668740463256835,28.21858018653217,0.0,0.0010817365255206823,7.678043039049953e-05,0.7326266195524146,0.7947585394581861,0.8748527679623086
autograd,0.05,0.11448880000170902,20.6322021484375,20.739561080932617,5.139575958251953,4.422408580780029,5.139575958251953,4.422408580780029,16.317152500152588,15.492626190185547,16.317152500152588,15.492626190185547,5,4,135.3216702442361,142.52232103710608,5,torch,zncc,1,False,diffuse,slanted_wave,0.35,24.220720100402833,28.496688091713562,0.0,0.0010817365255206823,0.00028662470867857337,0.5468197879858657,0.6802120141342756,0.8003533568904594
