material,depth_profile,material_description,constant_mean_intensity,stripes_mean_intensity,random_mean_intensity
diffuse,flat,Lambertian baseline with mild sinusoidal albedo.,0.3735226094722748,0.3787424564361572,0.3724549412727356
diffuse,bump,Lambertian baseline with mild sinusoidal albedo.,0.40397733449935913,0.40886518359184265,0.40279120206832886
diffuse,slanted_wave,Lambertian baseline with mild sinusoidal albedo.,0.4032835066318512,0.40752989053726196,0.40176594257354736
marble,flat,"Veined stone with contrast texture, mild specular response, and local scattering.",0.3234313130378723,0.3286060392856598,0.32263320684432983
marble,bump,"Veined stone with contrast texture, mild specular response, and local scattering.",0.3506414592266083,0.3556250333786011,0.34975358843803406
marble,slanted_wave,"Veined stone with contrast texture, mild specular response, and local scattering.",0.3476772904396057,0.35192281007766724,0.3465180993080139
