lowpass_fraction,initial_loss,initial_mae,final_loss,final_mae,mae_improvement,loss_improvement,runtime_seconds,iterations,gradient_method,renderer_backend,decoder_type,decoder_neighborhood,joint_optimize_decoder,material,depth_profile,mean_gradient_norm,std_gradient_norm,mean_decoder_gradient_norm,initial_out_of_band_energy_ratio,optimized_out_of_band_energy_ratio,accuracy_error_le_1,accuracy_error_le_2,accuracy_error_le_5
0.2,38.47523880004883,38.10837173461914,0.7208837866783142,0.2887454926967621,37.81962624192238,37.754355013370514,3.1603727000001527,40,autograd,torch,zncc,1,False,marble,slanted_wave,2.998262859135866,13.664684319805538,0.0,0.0013140322407707572,8.72620830705273e-07,0.9955856386109476,1.0,1.0
0.35,38.47523880004883,38.10837173461914,0.622494101524353,0.279643714427948,37.82872802019119,37.852744698524475,1.0554228000000876,40,autograd,torch,zncc,1,False,marble,slanted_wave,2.5667708422988653,12.455655326456593,0.0,0.001101614790968597,1.4585636165520555e-07,0.9977437708455954,0.9991171277221895,0.9992152246419462
0.5,38.47523880004883,38.10837173461914,0.654556393623352,0.29567739367485046,37.81269434094429,37.820682406425476,1.1162014000001363,40,autograd,torch,zncc,1,False,marble,slanted_wave,2.6059448953717945,10.759285973745598,0.0,0.000853354053106159,1.3107508323173533e-07,0.9864626250735727,0.9930351186972729,0.9993133215617029
0.75,38.47523880004883,38.10837173461914,0.8392595648765564,0.43237653374671936,37.67599520087242,37.63597923517227,1.1163921000006667,40,autograd,torch,zncc,1,False,marble,slanted_wave,2.2608650978654623,8.238016686837613,0.0,0.00039056153036653996,4.2885641704515365e-08,0.9276044732195409,0.9690994702766333,0.993329409456543
1.0,38.47523880004883,38.10837173461914,1.1929720640182495,0.7347583770751953,37.373613357543945,37.28226673603058,1.105966899998748,40,autograd,torch,zncc,1,False,marble,slanted_wave,2.1398588020354508,6.713670768108233,0.0,0.0,0.0,0.8469688051795173,0.91985481655876,0.9690994702766333
