backend,gradient_method,material,depth_profile,noise_std,runtime_seconds,initial_loss,initial_mae,final_loss,final_mae,mae_improvement,loss_improvement,iterations,renderer_backend,decoder_type,decoder_neighborhood,joint_optimize_decoder,lowpass_fraction,mean_gradient_norm,std_gradient_norm,mean_decoder_gradient_norm,initial_out_of_band_energy_ratio,optimized_out_of_band_energy_ratio,accuracy_error_le_1,accuracy_error_le_2,accuracy_error_le_5
torch,finite_difference,diffuse,slanted_wave,0.012,2.064905399998679,2.536531686782837,2.8667616844177246,1.4056289196014404,1.3647410869598389,1.5020205974578857,1.1309027671813965,1,torch,zncc,1,False,0.35,7.066442489624023,0.0,0.0,0.0010460213525220752,0.001667500240728259,0.40384615384615385,0.7692307692307693,1.0
mitsuba,finite_difference,diffuse,slanted_wave,0.012,22.626474900000176,2.4859330654144287,2.9112119674682617,2.212198495864868,2.285839557647705,0.6253724098205566,0.27373456954956055,1,mitsuba,zncc,1,False,0.35,14.54089069366455,0.0,0.0,0.0010460213525220752,0.0043272338807582855,0.3173076923076923,0.5192307692307693,0.9038461538461539
