material,decoder,decoder_type,neighborhood,joint_optimize_decoder,initial_loss,initial_mae,final_loss,final_mae,mae_improvement,loss_improvement,runtime_seconds,iterations,gradient_method,renderer_backend,decoder_neighborhood,depth_profile,lowpass_fraction,mean_gradient_norm,std_gradient_norm,mean_decoder_gradient_norm,initial_out_of_band_energy_ratio,optimized_out_of_band_energy_ratio,accuracy_error_le_1,accuracy_error_le_2,accuracy_error_le_5
diffuse,zncc,zncc,1,False,71.32981872558594,68.65948486328125,0.5550621151924133,0.2554309666156769,68.40405389666557,70.77475661039352,8.673373800000263,60,autograd,torch,1,slanted_wave,0.35,2.047633062551419,12.250778179862895,0.0,0.0011105173034593463,4.1081353430172385e-08,1.0,1.0,1.0
diffuse,zncc_neighborhood,zncc,3,False,43.4394645690918,37.19540023803711,0.48496654629707336,0.2633068263530731,36.932093411684036,42.95449802279472,12.766268700001092,60,autograd,torch,3,slanted_wave,0.35,2.25968566685915,15.336924704419491,0.0,0.0011105173034593463,5.2017913532154125e-08,0.9999265246142542,1.0,1.0
diffuse,zncc_nn,zncc_nn,3,True,44.46723556518555,38.57733154296875,0.5204950571060181,0.26950037479400635,38.307831168174744,43.94674050807953,14.176736900000833,60,autograd,torch,3,slanted_wave,0.35,4.103463796526194,16.383021608951125,6.72330608750523,0.0011105173034593463,1.1618326567486292e-07,0.9999265246142542,1.0,1.0
marble,zncc,zncc,1,False,75.72946166992188,74.39468383789062,0.574295163154602,0.2642841935157776,74.13039964437485,75.15516650676727,9.168957099998806,60,autograd,torch,1,slanted_wave,0.35,1.8628569441537062,10.71184510448548,0.0,0.0011105173034593463,2.5507951306735777e-08,0.9995958853783983,0.9999632623071271,1.0
marble,zncc_neighborhood,zncc,3,False,58.07219696044922,53.95851516723633,0.4752245843410492,0.26789283752441406,53.690622329711914,57.59697237610817,12.475688300000911,60,autograd,torch,3,slanted_wave,0.35,1.8800647001713515,12.318852730897186,0.0,0.0011105173034593463,3.722040631259915e-08,1.0,1.0,1.0
marble,zncc_nn,zncc_nn,3,True,58.76647186279297,55.05325698852539,0.5108534097671509,0.27396711707115173,54.77928987145424,58.25561845302582,13.365873399998236,60,autograd,torch,3,slanted_wave,0.35,3.813764134546121,13.900078887597807,4.288224710484246,0.0011105173034593463,9.79845324877715e-08,0.9995958853783983,1.0,1.0
frosted_glass,zncc,zncc,1,False,74.51679229736328,72.8349838256836,0.5532358884811401,0.2575489580631256,72.57743486762047,73.96355640888214,10.417662799998652,60,autograd,torch,1,slanted_wave,0.35,1.9595758639276029,11.736513311847691,0.0,0.0011105173034593463,2.8270781271544365e-08,1.0,1.0,1.0
frosted_glass,zncc_neighborhood,zncc,3,False,49.56882858276367,43.7890510559082,0.49591559171676636,0.2641304135322571,43.524920642375946,49.072912991046906,12.56394039999941,60,autograd,torch,3,slanted_wave,0.35,2.1798471119254827,14.732907246790306,0.0,0.0011105173034593463,4.794848607048152e-08,0.9999265246142542,1.0,1.0
frosted_glass,zncc_nn,zncc_nn,3,True,50.51829528808594,45.05051803588867,0.5130776762962341,0.2710685431957245,44.77944949269295,50.0052176117897,13.857234099999914,60,autograd,torch,3,slanted_wave,0.35,3.917083816230297,16.13194383518669,6.068296875594002,0.0011105173034593463,1.0772598812991419e-07,0.9997795738427627,1.0,1.0
